file,category,severity,finding,matches,points,snippet
backtest_results_20260517_162811.json,surface,medium,Noise/grid overlay without product reason,1,6.35,"e"": 0.0181, ""abs_importance"": 0.0181 } ], ""likely_noise_features"": [ { ""feature"": ""bb_pct"", ""importance"": 0"
backtest_results_20260517_170131.json,surface,medium,Noise/grid overlay without product reason,1,6.35,"nce"": 0.017, ""abs_importance"": 0.017 } ], ""likely_noise_features"": [ { ""feature"": ""macd_hist_slope3"", ""impo"
backtest_results_20260517_172848.json,surface,medium,Noise/grid overlay without product reason,1,6.35,"e"": 0.0169, ""abs_importance"": 0.0169 } ], ""likely_noise_features"": [ { ""feature"": ""ret_20d"", ""importance"":"
anti-ai-brutal-audit/anti-ai-human-design-tokens-v3.css,state_depth,medium,Offline/degraded state exists,1,-1.65,Product/status colors: use consistently */ --status-live: #6fbf73; --status-stale: #d7b46a; --status-error: #d96c5f; --status-info: #7da7c7; --status-disab
anti-ai-brutal-audit/anti-ai-human-design-tokens-v3.css,state_depth,medium,Disabled/busy/success states exist,1,-1.1,stale: #d7b46a; --status-error: #d96c5f; --status-info: #7da7c7; --status-disabled: #5f5a52; /* Shape */ --radius-control: 0.55rem; --radius-panel: 0.85rem
anti-ai-brutal-audit/anti-ai-human-design-tokens-v3.css,a11y,critical,Reduced motion support exists,1,-4.4,"er(.2, .8, .2, 1); --ease-navigation: cubic-bezier(.16, 1, .3, 1); } @media (prefers-reduced-motion: reduce) { *, *::before, *::after { animation-duration: 0.001ms !importan"
anti-ai-brutal-audit/anti-ai-human-design-tokens-v3.css,a11y,high,Keyboard focus treatment exists,2,-5.5,-behavior: auto !important; transition-duration: 0.001ms !important; } } :focus-visible { outline: 2px solid var(--focus-ring); outline-offset: 3px; }
anti-ai-brutal-audit/anti-ai-human-design-tokens-v3.css,design_system,high,Semantic tokens exist,20,-22.0,"ecific choices. */ :root { /* Surfaces: function first, not glass first */ --surface-base: #111111; --surface-panel: #181818; --surface-raised: #202020; --sur"
anti-ai-brutal-audit/anti-ai-human-design-tokens-v3.css,design_system,medium,Component-specific tokens exist,5,-11.0,2); --focus-ring: #d7b46a; /* Product/status colors: use consistently */ --status-live: #6fbf73; --status-stale: #d7b46a; --status-error: #d96c5f; --status-
anti-ai-brutal-audit/design-smell-rubric-v3.json,motion,critical,transition-all duration-300 default everywhere,1,20.0,"with Lucide icons"", ""shadcn defaults without a product design system"", ""transition-all duration-300 and hover-scale everywhere"", ""Framer fade-up reveal spam"", ""generic Saa"
anti-ai-brutal-audit/design-smell-rubric-v3.json,motion,medium,One-size-fits-all easing/duration,1,6.35,"ns"", ""shadcn defaults without a product design system"", ""transition-all duration-300 and hover-scale everywhere"", ""Framer fade-up reveal spam"", ""generic SaaS/AI copyw"
anti-ai-brutal-audit/design-smell-rubric-v3.json,motion,medium,Scroll reveal / reveal-on-view trope,1,8.47,"""transition-all duration-300 and hover-scale everywhere"", ""Framer fade-up reveal spam"", ""generic SaaS/AI copywriting"", ""missing reduced-motion/focus/app"
anti-ai-brutal-audit/design-smell-rubric-v3.json,copy,medium,Vague benefit nouns instead of domain language,2,5.25,"faults without a product design system"", ""transition-all duration-300 and hover-scale everywhere"", ""Framer fade-up reveal spam"", ""generic SaaS/AI copywriting"", ""miss"
web/static/tailwind.min.css,palette,high,Default dark SaaS background palette,5,16.25,"9/var(--tw-bg-opacity,1))}.bg-slate-800\/60{background-color:rgba(30,41,59,.6)}.bg-slate-900{--tw-bg-opacity:1;background-color:rgb(15 23 42/var(--tw-bg-opacity,1))}.bg-sla"
web/static/tailwind.min.css,palette,medium,AI candy accent overload,2,7.96,"-400{--tw-text-opacity:1;color:rgb(250 204 21/var(--tw-text-opacity,1))}.accent-cyan-500{accent-color:#06b6d4}.opacity-60{opacity:.6}.opacity-70{opacity:.7}.outline{outline-st"
web/static/tailwind.min.css,surface,critical,Glassmorphism recipe,7,41.83,hue-rotate: ;--tw-invert: ;--tw-saturate: ;--tw-sepia: ;--tw-drop-shadow: ;--tw-backdrop-blur: ;--tw-backdrop-brightness: ;--tw-backdrop-contrast: ;--tw-backdrop-grayscale:
web/static/tailwind.min.css,surface,high,Generic rounded shadow card formula,1,13.99,adius:9999px}.rounded-lg{border-radius:.5rem}.rounded-sm{border-radius:.125rem}.rounded-xl{border-radius:.75rem}.border{border-width:1px}.border-2{border-width:2px}.border-b{border-bottom-width:1px}.border-r{border-right-width:1px}.border-t{border-top-width:1p
web/static/tailwind.min.css,surface,medium,Soft glow shadow as fake polish,3,13.72,w-grayscale: ;--tw-hue-rotate: ;--tw-invert: ;--tw-saturate: ;--tw-sepia: ;--tw-drop-shadow: ;--tw-backdrop-blur: ;--tw-backdrop-brightness: ;--tw-backdrop-contrast: ;--tw
web/static/tailwind.min.css,motion,medium,One-size-fits-all easing/duration,1,7.3,"ke;transition-timing-function:cubic-bezier(.4,0,.2,1);transition-duration:.15s}.duration-300{transition-duration:.3s}.duration-500{transition-duration:.5s}.ease-in-out{transition-timing-function:cubic-bezier(.4,0,.2,1)}.after\:absolute:after{content:var(--tw"
web/static/tailwind.min.css,copy,medium,Vague benefit nouns instead of domain language,16,11.02,translate-x:0;--tw-translate-y:0;--tw-rotate:0;--tw-skew-x:0;--tw-skew-y:0;--tw-scale-x:1;--tw-scale-y:1;--tw-pan-x: ;--tw-pan-y: ;--tw-pinch-zoom: ;--tw-scroll-snap
web/static/tailwind.min.css,state_depth,medium,Disabled/busy/success states exist,1,-1.1,"tarea::placeholder{opacity:1;color:#9ca3af}[role=button],button{cursor:pointer}:disabled{cursor:default}audio,canvas,embed,iframe,img,object,svg,video{display:block;ver"
web/static/tailwind.min.css,a11y,high,Keyboard focus treatment exists,1,-2.75,webkit-outer-spin-button{height:auto}[type=search]{-webkit-appearance:textfield;outline-offset:-2px}::-webkit-search-decoration{-webkit-appearance:none}::-webkit-file-upload-
web/static/tailwind.min.css,a11y,medium,ARIA/semantic care exists,2,-2.2,"color:#9ca3af}input::placeholder,textarea::placeholder{opacity:1;color:#9ca3af}[role=button],button{cursor:pointer}:disabled{cursor:default}audio,canvas,embed,iframe"
web/static/index.html,palette,high,Default dark SaaS background palette,49,28.58,"er-color: #f87171; color: #f87171; background: rgba(248,113,113,.08); } body, .bg-slate-950, .bg-slate-50, .bg-slate-900, .bg-slate-900\/80, .bg-slate-900\/50, .bg-slate-9"
web/static/index.html,palette,medium,Primary/secondary/accent-only color language,141,22.6,"E0E2E8'); var raised= cs('--surface-raised','#EDEEF2'); var acc = cs('--accent','#E03E00'); C.defaults.font.family = '""Geist"",""SF Pro Text"",system-ui,san"
web/static/index.html,palette,medium,AI candy accent overload,6,11.18,", .text-slate-600 { color: var(--ink-faint) !important; } .text-cyan-300, .text-cyan-400, .text-cyan-500 { color: var(--accent) !important; } .bg-cyan-500 { background: var(--accent) !important; } .bg-cyan-"
web/static/index.html,surface,high,Generic rounded shadow card formula,1,13.99,".bg-slate-800, .bg-slate-700 { background: var(--surface-raised) !important; } .rounded-xl, .rounded-lg { border-radius: 6px !important; } table { border-collapse: collapse; } thead { position: sticky; top: 0; z-index: 1; background:"
web/static/index.html,surface,medium,Noise/grid overlay without product reason,12,15.37,"emil-design-eng (motion/easing/press feedback), redesign-existing-projects (grain, tinted shadow, focus, states), high-end-visual-design (shadow depth, card l"
web/static/index.html,composition,critical,3-card feature grid formula,6,45.74,"ard : Risk</div> </div> </div> <div class=""grid grid-cols-3 gap-3 text-xs""> <div class=""bg-slate-800/60 rounded-lg p-3 space-y-1""> <div class=""text-slate-500"">Win Prob</div>"
web/static/index.html,composition,high,Same max-width centered sections repeated,1,13.99,"════════════════════ --> <div id=""panel-hil"" class=""tab-panel p-6 space-y-5 max-w-5xl mx-auto""> <div id=""hil-action-msg"" class=""hidden card px-4 py-2 text-sm""></div> <div id=""hil-unavailable-overlay"" style=""display:no"
web/static/index.html,component_cliches,critical,shadcn/ui default gravity,198,85.49,"0px 8px;flex:1;overflow-y:auto;display:flex;flex-direction:column;gap:2px""> <button class=""nav-item active"" id=""nav-dashboard"" onclick=""navigate('dashboard')"">"
web/static/index.html,component_cliches,high,Rounded pill badge eyebrow before hero,55,41.54,font-weight: 600; margin-bottom: 5px; display: block; letter-spacing: .01em; } .badge { display: inline-flex; align-items: center; padding: 2px 8px; border-radius: 4px; font-size: 12px; font-weight: 700; border: 1px solid transparent; } .badge-buy { background
web/static/index.html,component_cliches,medium,Default card primitives repeated,133,25.43,adow: none; font-weight: 600; } .nav-item.active svg { color: var(--accent); } .card { background: var(--surface); border: 1px solid var(--surface-rule); border-radius: var(--radius); box-shadow: var(--shadow-card); } .legal-links { display
web/static/index.html,component_cliches,medium,Tab/accordion/sheet stack without custom system,7,13.28,"); font-weight:700; letter-spacing:.11em; text-transform:uppercase; } .ta-commandbar{ width:min(440px, 38vw); min-width:250px; height:38px; display:flex; align-items:center; gap:9px; padding:0 10px 0 12px; border:1px solid var(--surface-r"
web/static/index.html,motion,critical,transition-all duration-300 default everywhere,1,23.0,"erflow-hidden""> <div id=""bt-progress-bar"" class=""h-full bg-cyan-500 transition-all duration-300"" style=""width:0%""></div> </div> </div> <!-- Results"
web/static/index.html,motion,medium,One-size-fits-all easing/duration,20,17.44,"r: pointer; transition: color .15s var(--ease-out), background-color .15s var(--ease-out); width: 100%; text-align: left; border: none; background: none; } .nav-item:hover { color: var(--ink); background: var(--surface-raised); } .nav-item.active { co"
web/static/index.html,motion,medium,Scroll reveal / reveal-on-view trope,9,18.99,"st:true,subtree:true}); })(); </script> <!-- ── high-end-visual-design: scroll-reveal + magnetic press (GPU-only, reduced-motion safe) ── --> <script> (function(){"
web/static/index.html,motion,low,Animation exists,134,7.64,"font-size: 13.5px; font-weight: 500; color: var(--ink-muted); cursor: pointer; transition: color .15s var(--ease-out), background-color .15s var(--ease-out); width: 100%;"
web/static/index.html,copy,critical,Generic AI/SaaS hype copy,7,29.88,Power — Cash Balance — Unrealized P&amp;L — Account: — Token expires: — Reload Unlock Trading Enter your 6-digit trading PIN to enable order placement. Unlock Positi
web/static/index.html,copy,high,Landing-page section boilerplate,33,29.93,Settlement (per strategy) Loading… AI Model Details Loading… — Min confidence — Features — Last trained Test period: — Trained on: — trades Refresh AI Status Retrain AI
web/static/index.html,copy,medium,Vague benefit nouns instead of domain language,57,14.55,shares) Limit Price Time in Force GTC Day Place Order Portfolio Statistics Live performance across all trading strategies ↻ Refresh — Overall Win Rate — Total P&amp;L — Tr
web/static/index.html,copy,medium,Template CTA language,1,7.3,"lspan=""9"" class=""px-4 py-8 text-center text-slate-600"">No positions. Add one to get started.</td></tr>'; } else { tbody.innerHTML = data.positions.map(p => `"
web/static/index.html,iconography,medium,Emoji used as product iconography,11,15.03,"tton class=""dash-opp-btn"" id=""dob-active"" onclick=""showOpportunities('active')"">⚡ Movers</button> </div> </div> <div id=""da"
web/static/index.html,typography,medium,Default modern font stack only,18,9.98,"F2'); var acc = cs('--accent','#E03E00'); C.defaults.font.family = '""Geist"",""SF Pro Text"",system-ui,sans-serif'; C.defaults.font.size = 11; C.defaults.font.weight = 500; C.defaults.color = faint;"
web/static/index.html,state_depth,medium,Loading state exists,160,-8.8,"olor:rgba(248,113,113,.55) !important; background:rgba(220,38,38,.05); } .badge-pending { background: #F1F2F4; color: var(--ink-muted); border-color: #D7D9DE; } .badge"
web/static/index.html,state_depth,medium,Empty state exists,1,-1.65,"iv style=""padding:24px;text-align:center;font-size:13px;color:var(--ink-faint)"">No results</div>`; document.getElementById('ta-cmd-list').innerHTML = h; _taIdx = 0; t"
web/static/index.html,state_depth,medium,Error/retry state exists,127,-13.2,"taChartTheme(){ // chart.umd is deferred: if Chart isn't ready at parse-time, retry once the // deferred scripts have executed (DOMContentLoaded fires after defe"
web/static/index.html,state_depth,medium,Offline/degraded state exists,16,-13.2,"lugin that re-normalizes EVERY chart on every // update. Kills inconsistency (stale per-config colors, theme-toggle drift). // Only touches structural styling —"
web/static/index.html,state_depth,medium,Disabled/busy/success states exist,181,-8.8,ilt chart // containers lack a fixed height and collapse/gap when aspect is disabled. // Each chart that needs fill sets it per-config; leave Chart.js default h
web/static/index.html,a11y,critical,Reduced motion support exists,15,-35.2,"ct reduced-motion — keep opacity, drop movement (emil accessibility) */ @media (prefers-reduced-motion: reduce) { *, *::before, *::after { animation-duration: .01ms !important;"
web/static/index.html,a11y,high,Keyboard focus treatment exists,23,-22.0,"y: .035; } /* Accessible focus — keyboard only, accent ring, never on mouse */ :focus-visible { outline: 2px solid var(--accent); outline-offset: 2px; border-radius: 4"
